stop_id,stop_name,latitude,longitude,routes
303512414,"Anna Salai (Mount Road), Zone 13 Adyar (Route 23C)",13.0195637,80.2246585,23C
303695784,"Pantheon Road, Zone 5 Royapuram",13.0737672,80.2618156,23C
306551393,"Anna Salai (Mount Road), Zone 10 Kodambakkam",13.0192595,80.2242262,18D
306551395,"Anna Salai (Mount Road), Zone 9 Teynampet",13.0405526,80.2470139,11%20%G
306551396,"Teynampet-Saidapet steel flyover, Zone 9 Teynampet",13.0373003,80.2463991,18D
308301022,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0468N)",13.0467908,80.2482982,"11%20%G,18D"
308313775,Inner Ring Road (Route 588C) #2,13.0191024,80.2063609,588C
308317064,"Inner Ring Road, Zone 10 Kodambakkam",13.0348314,80.2118803,"11%20%G,M70"
309062093,Anna Salai (Mount Road) - CMWSSB Division 59,13.0702882,80.2738035,"11G,5C"
309185794,Dams Road - CMWSSB Division 63,13.0671092,80.2685713,27D
309185812,"Anna Salai (Mount Road), Zone 5 Royapuram",13.0627904,80.2636986,11%20%G
309185820,"Anna Salai (Mount Road), Zone 9 Teynampet (Route 27D)",13.0592286,80.2597052,27D
309185827,"Anna Salai (Mount Road), Zone 9 Teynampet (Route 11%20%G)",13.0593116,80.259461,11%20%G
309323593,Uttamar Gandhi Salai - CMWSSB Division 110 (Route 147C),13.0627272,80.2446808,147C
309812160,"MKN Road, Ward 160 (Route M70)",13.0076778,80.2099257,M70
310100943,Sardar Patel Road - CMWSSB Division 172,13.0068649,80.2407247,"23C,588C"
310102879,Rajiv Gandhi IT Expressway - CMWSSB Division 172 (13.0034N),13.0034175,80.2475947,"588C,5C"
310592291,"Mount - Medavakkam Road, Keelkattalai (Route 18D) #2",12.9661338,80.1885663,18D
310729808,Dr Radhakrishnan Salai - CMWSSB Division 121,13.0445134,80.2685481,27D
313159416,"Velachery Main Road, Zone 13 Adyar (12.9910N)",12.9909681,80.2199873,"D51ET,D70,D70CT,M70,V51"
313783576,Mahatma Gandhi Road,12.9963185,80.2624567,"23C,29C"
316244809,"Anna Salai (Mount Road), Zone 5 Royapuram (13.0673N)",13.0672558,80.2705663,"11G,23C"
316244810,Anna Salai (Mount Road) - CMWSSB Division 111,13.0565217,80.2564362,"11%20%G,18D,27D"
3215503639,Uttamar Gandhi Salai - CMWSSB Division 110,13.062284,80.2449997,147C
3215513434,Brick Klin Road (Route 29C) #2,13.0872409,80.2507551,29C
3216957362,Perambur High Road,13.1073116,80.2467397,29C
3216958497,Perambur High Road (Route 29C) #2,13.1062169,80.250519,29C
3216970886,Perambur High Road (Route 29C) #4,13.105056,80.2531768,29C
3216970916,Cooks Road (Route 29C),13.1023363,80.2526445,29C
3216985354,Chellappa Mudali Street,13.0972157,80.2514514,29C
3216986182,Thiru Vi Ka Street (Route 29C),13.0936235,80.2509794,29C
3216986939,Brick Klin Road (Route 29C) #3,13.0906349,80.2511188,29C
3216986967,Gangadeeshwar Koil Street (Route 29C),13.0834502,80.254603,29C
3216990390,EVR Periyar Salai,13.0787415,80.2521255,"15B,29C"
3216990971,College Road,13.0677838,80.2465225,"147C,29C"
3216991399,Haddows Road (Route 29C) #3,13.0666677,80.2478922,29C
3216991543,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C) #5,13.0573221,80.2487138,29C
3216993078,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C),13.0606301,80.247496,29C
3216994236,Cathedral Road - CMWSSB Division 118 (Route 27D) #3,13.0501996,80.2526129,27D
3216995418,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C) #7,13.0549585,80.2496516,29C
3216995856,Cathedral Road - CMWSSB Division 118 (Route 27D),13.0459666,80.256717,27D
3216996445,Robertson Lane,13.0253858,80.2654342,29C
3216997832,Ramkrishna Mutt Road (Route 29C),13.0344064,80.2681224,29C
3216998713,Thiruvika Salai (Route 29C) #3,13.0376266,80.2677461,29C
3216999998,Ramkrishna Mutt Road (Route 29C) #5,13.0299144,80.2667491,29C
3217004886,Durgabai Deshmukh Road,13.0162141,80.2597582,29C
3217004939,Dr Muthulakshmi Salai,12.998741,80.2561722,"23C,29C"
325191477,Rajiv Gandhi IT Expressway - CMWSSB Division 172 (13.0062N),13.0061894,80.2475374,"588C,5C"
3262996627,"Sardar Patel Road, Zone 13 Adyar",13.0066383,80.2547553,23C
3263010049,"Anna Salai (Mount Road), Zone 13 Adyar (Route V51) #2",13.0221248,80.2262769,V51
3263015885,Anna Salai (Mount Road) - CMWSSB Division 171,13.0232491,80.2274463,"19B,23C"
3263015892,Taluk Office Road,13.0143216,80.2262688,"19B,588C"
3263017226,Sardar Patel Road - CMWSSB Division 171 (Route 588C),13.0083174,80.2334438,588C
3264712469,"MKN Road, Ward 160",13.0072847,80.2097658,D70
3264883515,"Anna Salai (Mount Road), Zone 13 Adyar (Route V51)",13.0155768,80.225033,V51
3298619178,"Taramani Link Road, Zone 13 Adyar (Route M1) #2",12.980629,80.2287544,M1
3298619179,"Taramani Link Road, Zone 13 Adyar (12.9817N)",12.9817095,80.2303946,"M1,M70,S570"
334713155,Durgabai Deshmukh Road (Route 29C),13.0110148,80.2592709,29C
338250257,"Madipakkam - Velachery Road, Zone 14 Perungudi (12.9655N)",12.9655423,80.2003456,"M1,V51"
355515114,Cathedral Road (Route 29C) #5,13.0462093,80.256558,29C
355550113,Gandhi Irwin Road - CMWSSB Division 61,13.0775116,80.2618805,27D
360807295,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C) #3,13.0594687,80.2480638,29C
365279752,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0470N)",13.0470132,80.2487062,"11G,23C"
365983874,"Taluk Office Road, Zone 13 Adyar",13.013981,80.2265266,"23C,S570"
366083028,Anna Salai (Mount Road) (13.0089N),13.008868299999998,80.2112087,"588C,E18,S570"
3678928567,"Mount - Poonamallee - Avadi Road, Sekkadu",13.1166176,80.1005434,266
3724408109,"Thambiah Road, Zone 10 Kodambakkam",13.0412747,80.2247636,11G
3725571283,"Sir Thyagaraya Road, Zone 9 Teynampet",13.0403357,80.2416011,11%20%G
378688565,Cathedral Road - CMWSSB Division 118,13.0513415,80.2516342,27D
378688568,Cathedral Road (Route 29C),13.0514752,80.2518854,29C
384486247,Raja Annamalai Road,13.0799588,80.2547872,"23C,29C"
389516314,"Anna Salai (Mount Road), Zone 9 Teynampet (Route 23C)",13.0368739,80.2466823,23C
401769773,"City Link Road, Ward 161 (Route S13) #2",12.9947061,80.206537,S13
405508932,Cathedral Road (Route 29C) #6,13.0480237,80.2540873,29C
410614397,Ramkrishna Mutt Road (Route 29C) #3,13.0339269,80.2680487,29C
414712727,Westcott Road - CMWSSB Division 115 (Route 5C),13.0546528,80.26443,5C
415913904,Mc Nichols Road (Route 29C),13.0704837,80.2421189,29C
4172727623,"Taramani Link Road, Zone 13 Adyar",12.9785526,80.2253586,"3,M1,S570"
417750654,Besant Nagar 2nd Avenue,12.9960874,80.2676685,"23C,29C"
418116040,RK Mutt Road (Route 29C),13.027196,80.266243,29C
4221572806,"Five Furlong Road, Zone 13 Adyar (13.0036N)",13.0036032,80.2119807,"D70,M70"
4221779489,Inner Ring Road (13.0141N),13.0140912,80.2045927,"588C,76,M70,S570"
4358666333,"Taramani Link Road, Zone 13 Adyar (Route M1) #3",12.981636,80.2334748,M1
4358676514,"Velachery Main Road, Zone 13 Adyar (Route S570) #2",12.9877973,80.2230746,S570
4407799419,"Sir Thyagaraya Road, Zone 9 Teynampet (Route 11G)",13.0399858,80.2429146,11G
4417314190,"Doraiswamy Road, Zone 10 Kodambakkam",13.0407196,80.2306959,11G
4421925892,Haddows Road,13.067122,80.2479405,"147C,29C"
4421948892,Nelson Manickam Road - CMWSSB Division 110,13.0645529,80.2349783,147C
4739613829,"Jawaharlal Nehru Road (100 Feet Road), Zone 10 Kodambakkam (13.0736N)",13.0735659,80.2003418,"114,D70"
5090924222,"Velachery Mudhanmai Salai, Gowriwakkam (12.9235N)",12.923495,80.1545664,"51,V51"
5093966251,"Rajiv Gandhi Salai, Zone 15 Sholinganallur",12.8988445,80.2279854,S570
5227401703,2nd Avenue Anna Nagar - CMWSSB Division 99,13.0853785,80.2013107,147C
5227454884,Inner Ring Road (13.0191N),13.0191075,80.2064422,"588C,76,M70,S570"
5228340704,"Inner Ring Road, Zone 13 Adyar (13.0244N)",13.0243667,80.2066739,"D70,M70"
5228342635,Inner Ring Road (13.0243N),13.0243263,80.2069943,"588C,76,M70,S570"
5239594891,"Thirumangalam – Mogappair Road, Zone 8 Anna Nagar",13.0870648,80.1981881,"147C,D70"
5318529343,"Jawaharlal Nehru Road (100 Feet Road), Zone 10 Kodambakkam (13.0468N)",13.0468396,80.2121426,"D70,M70"
5318530216,"Jawaharlal Nehru Road (100 Feet Road), Zone 10 Kodambakkam (13.0540N)",13.053955,80.2114618,"D70,M70"
5318537692,"Jawaharlal Nehru Road (100 Feet Road), Zone 8 Anna Nagar",13.0630102,80.2115596,D70
5320093328,"Jawaharlal Nehru Road (100 Feet Road), Zone 7 Ambattur",13.082197,80.1983699,"114,D70"
5332440110,East Coast Road - CMWSSB Division 182 (Route 588C),12.976764,80.2592029,588C
5336303647,Anna Arch Flyover Ramp - CMWSSB Division 100 (Route 147C),13.075358,80.2176034,147C
5336393773,Konnur High Road - CMWSSB Division 95,13.1027785,80.2086858,27D
5338612406,"2nd Avenue, Anna Nagar West - CMWSSB Division 101",13.0848033,80.2159601,147C
5338616524,"2nd Avenue, Anna Nagar West - CMWSSB Division 100 (Route 147C) #2",13.0847224,80.2118818,147C
5338617221,"2nd Avenue, Anna Nagar West - CMWSSB Division 100",13.0849958,80.2109928,147C
5338656232,"2nd Avenue, Anna Nagar West - CMWSSB Division 100 (Route 147C) #3",13.0848336,80.2095342,147C
5355818030,"Inner Ring Road, Zone 13 Adyar (13.0186N)",13.0186408,80.2059235,"D70,M70"
5356742026,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0542N)",13.054195,80.253785,"11G,18D,23C,27D"
5373987234,Thirumangalam – Mogappair Road - CMWSSB Division 99,13.0873581,80.1974447,147C
5394814347,Thirumangalam – Mogappair Road - CMWSSB Division 89 (Route 147C),13.0878057,80.1903448,147C
5394822729,"Thirumangalam – Mogappair Road, Zone 7 Ambattur",13.0875626,80.1893914,"147C,D70"
5400380243,Jawaharlal Nehru Road (100 Feet Road),13.0692359,80.2065633,"588C,76"
5400381618,Jawaharlal Nehru Road,13.0476117,80.2123446,"588C,M70"
5400382521,Jawaharlal Nehru Road (100 Feet Road) (13.0580N),13.0580044,80.2116987,"588C,76,M70,S570"
5400382522,Jawaharlal Nehru Road (100 Feet Road) (13.0651N),13.0651401,80.2112943,"588C,M70,S570"
5460685950,General Patters Road - CMWSSB Division 63,13.0653877,80.2676197,5C
5624538882,"Jawaharlal Nehru Road (100 Feet Road), Zone 7 Ambattur (Route 114) #2",13.119438,80.1986536,114
5631301107,"Thiruvalluvar Road, Zone 13 Adyar",12.9872302,80.2593997,M1
5631301114,"Taramani Link Road, Zone 13 Adyar (12.9817N) #2",12.9816579,80.233499,"M1,M70"
5631301115,Dr Radhakrishnan Salai - CMWSSB Division 121 (Route 27D),13.0444719,80.2685434,27D
