stop_id,stop_name,latitude,longitude
313159416,Stop_313159416,12.9909681,80.2199873
313442701,Stop_313442701,12.9796394,80.1829783
313783576,Stop_313783576,12.9963185,80.2624567
315888034,Stop_315888034,13.0523172,80.2637555
316066248,Stop_316066248,13.0803743,80.2883666
316244808,Stop_316244808,13.0520086,80.2576831
316244809,Stop_316244809,13.0672558,80.2705663
316244810,Stop_316244810,13.0565217,80.2564362
317827746,Stop_317827746,12.9885068,80.2558808
317827781,Stop_317827781,12.9883987,80.255959
318066696,Stop_318066696,12.9853009,80.2596367
318069500,Stop_318069500,12.9858076,80.2597253
319473140,Stop_319473140,13.0677732,80.255043
319489527,Stop_319489527,12.9847385,80.2522404
322719303,Stop_322719303,12.9876477,80.2553395
323202504,Stop_323202504,12.7305486,79.9837805
325191477,Stop_325191477,13.0061894,80.2475374
325191941,Stop_325191941,13.0065151,80.2416004
330654132,Stop_330654132,12.9865619,80.2385165
330780587,Stop_330780587,12.9885153,80.229819
330780590,Stop_330780590,12.9867147,80.2332146
330780591,Stop_330780591,12.9865599,80.2353872
334222809,Stop_334222809,13.0439822,80.2683767
334222896,Stop_334222896,13.0448129,80.2632997
334267136,Stop_334267136,12.9960126,80.2678
334713155,Stop_334713155,13.0110148,80.2592709
334713159,Stop_334713159,13.0078478,80.2587288
338250257,Stop_338250257,12.9655423,80.2003456
340096084,Stop_340096084,12.9257704,80.11852
343721497,Stop_343721497,13.0386195,80.2588399
344411089,Stop_344411089,13.0635006,80.2434529
353719171,Stop_353719171,12.9951542,80.1873759
355515114,Stop_355515114,13.0462093,80.256558
355550113,Stop_355550113,13.0775116,80.2618805
356274121,Stop_356274121,13.049045,80.2804835
356277093,Stop_356277093,13.0665178,80.2687218
357233537,Stop_357233537,13.0563899,80.2817387
357233543,Stop_357233543,13.0567968,80.2820086
360807238,Stop_360807238,13.0594652,80.2476713
360807295,Stop_360807295,13.0594687,80.2480638
362227770,Stop_362227770,13.0207736,80.2699092
365279752,Stop_365279752,13.0470132,80.2487062
365957307,Stop_365957307,13.0166571,80.1892332
365983874,Stop_365983874,13.013981,80.2265266
366083028,Stop_366083028,13.0088683,80.2112087
