route_number,stop_id,stop_sequence,stop_name,latitude,longitude
11G,2482014616,15,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0593N)",13.0593336,80.2598375
11G,3724408109,16,"Thambiah Road, Zone 10 Kodambakkam",13.0412747,80.2247636
11G,9504474776,17,Rattan Bazaar Road,13.0876798,80.2814746
11G,4417314190,18,"Doraiswamy Road, Zone 10 Kodambakkam",13.0407196,80.2306959
11G,316244809,19,"Anna Salai (Mount Road), Zone 5 Royapuram (13.0673N)",13.0672558,80.2705663
11G,2482072878,20,Anna Salai (Mount Road) - CMWSSB Division 63,13.064682,80.2663928
11G,4407799419,21,"Sir Thyagaraya Road, Zone 9 Teynampet (Route 11G)",13.0399858,80.2429146
11G,1952555473,22,"2nd Street, Zone 10 Kodambakkam",13.0370153,80.2208949
11G,571352244,23,"Sir Thyagaraya Road, Zone 9 Teynampet (Route 11G) #2",13.0394488,80.2455135
147C,247675520,1,Burkit Road - CMWSSB Division 141,13.0349762,80.2307357
147C,7796477442,2,Chennai - Tiruttani - Renigunta Road - CMWSSB Division 85,13.1103659,80.1522998
147C,7869100700,3,Chennai - Tiruttani - Renigunta Road - CMWSSB Division 85 (Route 147C),13.1060625,80.1524361
147C,7796477452,4,Chennai - Tiruttani - Renigunta Road - CMWSSB Division 86,13.1015063,80.1625708
147C,7796477468,5,2nd Main Road - CMWSSB Division 86,13.0994583,80.1702657
147C,7796505766,6,Ambattur Estate Road - CMWSSB Division 86,13.0886781,80.1715578
147C,7869100702,7,Thirumangalam – Mogappair Road - CMWSSB Division 89,13.0883017,80.1784121
147C,5394814347,8,Thirumangalam – Mogappair Road - CMWSSB Division 89 (Route 147C),13.0878057,80.1903448
147C,5373987234,9,Thirumangalam – Mogappair Road - CMWSSB Division 99,13.0873581,80.1974447
147C,5227401703,10,2nd Avenue Anna Nagar - CMWSSB Division 99,13.0853785,80.2013107
147C,5338617221,11,"2nd Avenue, Anna Nagar West - CMWSSB Division 100",13.0849958,80.2109928
147C,5338612406,12,"2nd Avenue, Anna Nagar West - CMWSSB Division 101",13.0848033,80.2159601
147C,7843267874,13,Anna Arch Road - CMWSSB Division 100,13.0760536,80.2181587
147C,7843267872,14,Nelson Manickam Road - CMWSSB Division 106,13.0720107,80.2220136
147C,7869100703,15,Nelson Manickam Road - CMWSSB Division 106 (Route 147C),13.0678542,80.2269976
147C,7869100704,16,Nelson Manickam Road - CMWSSB Division 109,13.0666515,80.230974
147C,4421948892,17,Nelson Manickam Road - CMWSSB Division 110,13.0645529,80.2349783
147C,3216990971,18,College Road,13.0677838,80.2465225
147C,4421925892,19,Haddows Road,13.067122,80.2479405
147C,3215503639,20,Uttamar Gandhi Salai - CMWSSB Division 110,13.062284,80.2449997
147C,309323593,21,Uttamar Gandhi Salai - CMWSSB Division 110 (Route 147C),13.0627272,80.2446808
147C,7871877992,22,Valluvar Kottam High Road - CMWSSB Division 113,13.05383,80.2423007
147C,9419760484,23,Anna Arch Flyover Ramp - CMWSSB Division 100,13.0753585,80.2176228
147C,5336303647,24,Anna Arch Flyover Ramp - CMWSSB Division 100 (Route 147C),13.075358,80.2176034
147C,9894539903,25,Anna Arch Road - CMWSSB Division 100 (Route 147C),13.0813149,80.2177915
147C,9894539902,26,"2nd Avenue, Anna Nagar West - CMWSSB Division 100 (Route 147C)",13.0846068,80.2159694
147C,5338616524,27,"2nd Avenue, Anna Nagar West - CMWSSB Division 100 (Route 147C) #2",13.0847224,80.2118818
147C,5338656232,28,"2nd Avenue, Anna Nagar West - CMWSSB Division 100 (Route 147C) #3",13.0848336,80.2095342
147C,5239594891,29,"Thirumangalam – Mogappair Road, Zone 8 Anna Nagar",13.0870648,80.1981881
147C,5394822729,30,"Thirumangalam – Mogappair Road, Zone 7 Ambattur",13.0875626,80.1893914
147C,7796505767,31,"Ambattur Estate Road, Zone 7 Ambattur",13.0884416,80.172007
147C,9370309976,32,"2nd Main Road, Zone 7 Ambattur",13.0890597,80.1694157
147C,7796477453,33,"Chennai - Tiruttani - Renigunta Road, Zone 7 Ambattur",13.1012433,80.1627648
147C,7185834751,34,"Chennai - Tiruttani - Renigunta Road, Zone 7 Ambattur (Route 147C)",13.1034994,80.1566326
147C,7869208199,35,"Chennai - Tiruttani - Renigunta Road, Zone 7 Ambattur (Route 147C) #2",13.1049651,80.1526301
147C,7796477443,36,"Chennai - Tiruttani - Renigunta Road, Zone 7 Ambattur (Route 147C) #3",13.1116502,80.1510999
147C,7796211329,37,"Chennai - Tiruttani - Renigunta Road, Zone 7 Ambattur (Route 147C) #4",13.1196709,80.149986
14M,9417619445,1,"City Link Road, Ward 161",12.9947979,80.2067982
14M,9417619433,2,"Medavakkam Main Road, Ward 161",12.9946272,80.200283
14M,9417619431,3,"Mount - Medavakkam Road, Ward 165",12.9818042,80.1957994
14M,9417619430,4,"Mount - Medavakkam Road, Zone 14 Perungudi",12.9725284,80.1914999
14M,9417619429,5,"Mount - Medavakkam Road, Zone 14 Perungudi (Route 14M)",12.9725096,80.1915348
14M,9417619442,6,"Mount - Medavakkam Road, Nanganallur",12.9682552,80.189596
14M,9417619443,7,"Mount - Medavakkam Road, Nanganallur (12.9682N)",12.9682417,80.1896401
14M,9417619440,8,"Mount - Medavakkam Road, Ullagaram",12.9661068,80.1886704
14M,300370338,9,"Vanuvampet South New Street, Ward 165",12.9816619,80.1957195
14M,9417619438,10,"Mount - Medavakkam Road, Keelkattalai",12.9559551,80.1869989
14M,300134382,11,"Mount - Medavakkam Road, Pazhavanthangal",12.988501,80.197819
14M,9417619436,12,"Medavakkam Main Road, Keelkattalai",12.9486369,80.1851774
14M,279150540,13,"Medavakkam Main Road, Ward 161 (Route 14M)",12.9946395,80.200193
14M,9526179500,14,"Medavakkam Main Road, Nanmangalam",12.9392448,80.182525
14M,1711224934,15,"Medavakkam Main Road, Nanmangalam (Route 14M)",12.9392427,80.1825888
14M,694064191,16,Velachery Mudhanmai Salai (12.9206),12.9205917,80.184473
15B,966544114,1,General Hospital Road (Route 15B),13.0812054,80.2730145
15B,303284248,2,General Hospital Road (Route 15B) #2,13.0812612,80.2718576
15B,7412932325,3,Netaji Subhash Chandra Bose Road,13.0883365,80.2838631
15B,9504474776,4,Rattan Bazaar Road,13.0876798,80.2814746
15B,2482072870,5,General Hospital Road (13.0819N),13.0818538,80.2775047
15B,9504474775,6,General Hospital Road,13.081935,80.2774889
15B,3216990390,7,EVR Periyar Salai,13.0787415,80.2521255
18D,9676647822,1,"Keelkattalai Bus Stand Service Road, Keelkattalai",12.956068,80.1862921
18D,7412932325,2,Netaji Subhash Chandra Bose Road,13.0883365,80.2838631
18D,9522345426,3,"Mount - Medavakkam Road, Keelkattalai (Route 18D)",12.9654012,80.1882967
18D,310592291,4,"Mount - Medavakkam Road, Keelkattalai (Route 18D) #2",12.9661338,80.1885663
18D,278745849,5,"Mount - Medavakkam Road, Nanganallur (Route 18D)",12.9682899,80.18948
18D,9417619441,6,"Mount - Medavakkam Road, Nanganallur (Route 18D) #2",12.968278,80.189535
18D,9368655291,7,"Mount - Medavakkam Road, Zone 14 Perungudi (Route 18D)",12.9726563,80.1914521
18D,7802828807,8,"Puzhuthivakkam Road, Zone 14 Perungudi",12.9726442,80.1914709
18D,9417619438,9,"Mount - Medavakkam Road, Keelkattalai",12.9559551,80.1869989
18D,5356742026,10,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0542N)",13.054195,80.253785
18D,9514055804,11,"Mount - Medavakkam Road, Pazhavanthangal (Route 18D)",12.9886237,80.197745
18D,300134382,12,"Mount - Medavakkam Road, Pazhavanthangal",12.988501,80.197819
18D,9514055815,13,"Anna Salai (Mount Road), Zone 13 Adyar",13.0121297,80.2202503
18D,306551393,14,"Anna Salai (Mount Road), Zone 10 Kodambakkam",13.0192595,80.2242262
18D,9514067017,15,"Anna Salai (Mount Road), Zone 13 Adyar (Route 18D)",13.0294407,80.2369328
18D,306551396,16,"Teynampet-Saidapet steel flyover, Zone 9 Teynampet",13.0373003,80.2463991
18D,308301022,17,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0468N)",13.0467908,80.2482982
18D,316244810,18,Anna Salai (Mount Road) - CMWSSB Division 111,13.0565217,80.2564362
18D,2482072878,19,Anna Salai (Mount Road) - CMWSSB Division 63,13.064682,80.2663928
18D,2482072922,20,"Pallavan Salai, Zone 5 Royapuram",13.0768078,80.276179
19B,3263015885,1,Anna Salai (Mount Road) - CMWSSB Division 171,13.0232491,80.2274463
19B,1457114954,2,Old Mahapalipuram Service Road - CMWSSB Division 183,12.9794944,80.2528353
19B,1183430572,3,Rajiv Gandhi IT Expressway - CMWSSB Division 172,12.9966477,80.2490952
19B,1183430763,4,Rajiv Gandhi IT Expressway - CMWSSB Division 180,12.9893849,80.2508691
19B,3263015892,5,Taluk Office Road,13.0143216,80.2262688
19B,7412854052,6,Rajiv Gandhi Salai - CMWSSB Division 183,12.9729954,80.2502408
19B,1457114931,7,Old Mahapalipuram Service Road - CMWSSB Division 183 (12.9669N),12.9669208,80.2482764
21G,9400398388,1,"Grand Southern Trunk Road, East Tambaram",12.9276798,80.1187584
23C,9570575688,1,"Ayanavaram Bus Terminus Service Road, Ward 69",13.0986329,80.2420053
23C,1971862196,2,Sardar Patel Road - CMWSSB Division 171,13.0082459,80.2334763
23C,1280328281,3,"Adithanar Road, Zone 5 Royapuram",13.0715858,80.2646192
23C,299808136,4,"Besant Nagar 1st Avenue, Zone 13 Adyar",13.0002825,80.2653435
23C,5356742026,5,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0542N)",13.054195,80.253785
23C,3217004939,6,Dr Muthulakshmi Salai,12.998741,80.2561722
23C,301736187,7,"Scheme Road, Zone 9 Teynampet",13.0414948,80.2476472
23C,389516314,8,"Anna Salai (Mount Road), Zone 9 Teynampet (Route 23C)",13.0368739,80.2466823
23C,3263015885,9,Anna Salai (Mount Road) - CMWSSB Division 171,13.0232491,80.2274463
23C,303695784,10,"Pantheon Road, Zone 5 Royapuram",13.0737672,80.2618156
23C,417750654,11,Besant Nagar 2nd Avenue,12.9960874,80.2676685
23C,365279752,12,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0470N)",13.0470132,80.2487062
23C,2482014616,13,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0593N)",13.0593336,80.2598375
23C,310100943,14,Sardar Patel Road - CMWSSB Division 172,13.0068649,80.2407247
23C,316244809,15,"Anna Salai (Mount Road), Zone 5 Royapuram (13.0673N)",13.0672558,80.2705663
23C,2481989472,16,"Anna Salai (Mount Road), Zone 5 Royapuram (Route 23C)",13.0643262,80.2659171
23C,303512414,17,"Anna Salai (Mount Road), Zone 13 Adyar (Route 23C)",13.0195637,80.2246585
23C,3262996627,18,"Sardar Patel Road, Zone 13 Adyar",13.0066383,80.2547553
23C,313783576,19,Mahatma Gandhi Road,12.9963185,80.2624567
23C,384486247,20,Raja Annamalai Road,13.0799588,80.2547872
23C,365983874,21,"Taluk Office Road, Zone 13 Adyar",13.013981,80.2265266
23C,249497696,22,"Sardar Patel Road, Zone 13 Adyar (Route 23C)",13.0070054,80.2583614
266,3678928567,1,"Mount - Poonamallee - Avadi Road, Sekkadu",13.1166176,80.1005434
266,7053500327,2,"Mount - Poonamallee - Avadi Road, Thiruverkadu",13.111373,80.1086951
266,11195612554,3,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266)",13.1113894,80.108732
266,11218122325,4,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #2",13.1142419,80.1082232
266,11195612555,5,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #3",13.1142499,80.1082814
266,11218122324,6,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #4",13.0865016,80.1086769
266,11195612550,7,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #5",13.0865074,80.1087025
266,9933687788,8,"Chennai Bus Stop (13.0937, 80.1085)",13.0936958,80.1084728
266,11195612551,9,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #6",13.0936827,80.1085094
266,11218122323,10,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #7",13.0983793,80.1083688
266,11195612552,11,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #8",13.0983825,80.1084477
266,11218122322,12,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #9",13.1027472,80.1084078
266,11195612553,13,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #10",13.1027426,80.108453
266,11218122321,14,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #11",13.0816715,80.1093223
266,11195612549,15,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #12",13.0816886,80.1093596
266,11218122320,16,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #13",13.0748293,80.1117502
266,11195612548,17,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #14",13.0748382,80.1117817
266,11218122319,18,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #15",13.0662147,80.1125785
266,11195612547,19,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #16",13.0662136,80.1126212
266,11218122318,20,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #17",13.0619668,80.1130326
266,11195612546,21,"Mount - Poonamallee - Avadi Road, Thiruverkadu (Route 266) #18",13.0619783,80.1130718
266,11218122316,22,Mount - Poonamallee - Avadi Road (13.0523),13.0523102,80.1127315
266,11195612544,23,Mount - Poonamallee - Avadi Road (13.0523) (Route 266),13.0523107,80.1127741
266,11218122317,24,Mount - Poonamallee - Avadi Road (13.0557),13.0557341,80.113918
266,11195612545,25,Mount - Poonamallee - Avadi Road (13.0557) (Route 266),13.0557284,80.1139569
266,11218122315,26,Mount - Poonamallee - Avadi Road (13.0464),13.0464201,80.1118008
266,11195612543,27,Mount - Poonamallee - Avadi Road (13.0464) (Route 266),13.0464185,80.1118353
266,7799977292,28,"Poonamallee - Kundrathur - Pallavaram Road, Mangadu",13.043824,80.1153082
266,11195612542,29,"Poonamallee - Kundrathur - Pallavaram Road, Mangadu (Route 266)",13.0438277,80.1153383
266,11218122313,30,"Poonamallee - Kundrathur - Pallavaram Road, Mangadu (Route 266) #2",13.0411796,80.1144347
266,11195612541,31,"Poonamallee - Kundrathur - Pallavaram Road, Mangadu (Route 266) #3",13.0411612,80.1144639
266,11218122312,32,"Poonamallee - Kundrathur - Pallavaram Road, Mangadu (Route 266) #4",13.0381197,80.1131841
266,11195612540,33,"Poonamallee - Kundrathur - Pallavaram Road, Mangadu (Route 266) #5",13.0381183,80.1132093
266,11218122311,34,"Poonamallee - Kundrathur - Pallavaram Road, Mangadu (Route 266) #6",13.0350531,80.1120641
266,11195612539,35,"Poonamallee - Kundrathur - Pallavaram Road, Mangadu (Route 266) #7",13.0350492,80.1120955
266,9400398392,36,"Grand Southern Trunk Road, East Tambaram (12.9294N)",12.9293586,80.1206329
266,9400398391,37,"Grand Southern Trunk Road, East Tambaram (12.9293N)",12.9293289,80.1206916
27D,310729808,1,Dr Radhakrishnan Salai - CMWSSB Division 121,13.0445134,80.2685481
27D,5631301115,2,Dr Radhakrishnan Salai - CMWSSB Division 121 (Route 27D),13.0444719,80.2685434
27D,9886468232,3,Dr Radhakrishnan Salai - CMWSSB Division 119,13.0446919,80.2630242
27D,9734354380,4,Dr Radhakrishnan Salai - CMWSSB Division 119 (Route 27D),13.0446727,80.2630248
27D,355550113,5,Gandhi Irwin Road - CMWSSB Division 61,13.0775116,80.2618805
27D,9734416560,6,Dr Radhakrishnan Salai - CMWSSB Division 121 (Route 27D) #2,13.0438762,80.2715829
27D,2482075364,7,Pantheon Road - CMWSSB Division 61,13.074166,80.2620635
27D,378688565,8,Cathedral Road - CMWSSB Division 118,13.0513415,80.2516342
27D,2482072878,9,Anna Salai (Mount Road) - CMWSSB Division 63,13.064682,80.2663928
27D,316244810,10,Anna Salai (Mount Road) - CMWSSB Division 111,13.0565217,80.2564362
27D,3216995856,11,Cathedral Road - CMWSSB Division 118 (Route 27D),13.0459666,80.256717
27D,2482014617,12,Anna Salai (Mount Road) - CMWSSB Division 111 (Route 27D),13.0593726,80.2595362
27D,309185794,13,Dams Road - CMWSSB Division 63,13.0671092,80.2685713
27D,5336393773,14,Konnur High Road - CMWSSB Division 95,13.1027785,80.2086858
27D,301736902,15,Cathedral Road - CMWSSB Division 118 (Route 27D) #2,13.0479032,80.2538704
27D,3216994236,16,Cathedral Road - CMWSSB Division 118 (Route 27D) #3,13.0501996,80.2526129
27D,2482075369,17,"Adithanar Road, Zone 5 Royapuram (Route 27D)",13.0716607,80.2646506
27D,309185820,18,"Anna Salai (Mount Road), Zone 9 Teynampet (Route 27D)",13.0592286,80.2597052
27D,5356742026,19,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0542N)",13.054195,80.253785
27D,9886329408,20,"Foreshore Estate Bus Terminus Driveway, Zone 13 Adyar",13.0223777,80.276278
29C,9921938904,1,Vasan Street,13.1085828,80.2482599
29C,611743120,2,Cooks Road,13.1030788,80.2527847
29C,3216970916,3,Cooks Road (Route 29C),13.1023363,80.2526445
29C,9921942426,4,Besant Nagar 1st Avenue Service Road,13.0003026,80.2657987
29C,3216957362,5,Perambur High Road,13.1073116,80.2467397
29C,9921938899,6,Perambur High Road (Route 29C),13.1061602,80.2505118
29C,3216958497,7,Perambur High Road (Route 29C) #2,13.1062169,80.250519
29C,9921938898,8,Perambur High Road (Route 29C) #3,13.1049467,80.253114
29C,3216970886,9,Perambur High Road (Route 29C) #4,13.105056,80.2531768
29C,9921938897,10,Cooks Road (Route 29C) #2,13.102398,80.2525825
29C,9921938896,11,Brick Klin Road,13.0972562,80.2513655
29C,3216985354,12,Chellappa Mudali Street,13.0972157,80.2514514
29C,257932256,13,Thiru Vi Ka Street,13.0936754,80.2508682
29C,3216986182,14,Thiru Vi Ka Street (Route 29C),13.0936235,80.2509794
29C,9921938894,15,Brick Klin Road (Route 29C),13.0872312,80.2507024
29C,3215513434,16,Brick Klin Road (Route 29C) #2,13.0872409,80.2507551
29C,9921938893,17,Gangadeeshwar Koil Street,13.083453,80.2545545
29C,3216986967,18,Gangadeeshwar Koil Street (Route 29C),13.0834502,80.254603
29C,9921938892,19,Raja Annamalai Road (Route 29C),13.0799617,80.2546471
29C,384486247,20,Raja Annamalai Road,13.0799588,80.2547872
29C,9921938891,21,EVR Periyar Salai (Route 29C),13.0787743,80.2521242
29C,3216990390,22,EVR Periyar Salai,13.0787415,80.2521255
29C,9921938890,23,Mc Nichols Road,13.0704688,80.2420456
29C,415913904,24,Mc Nichols Road (Route 29C),13.0704837,80.2421189
29C,9921938889,25,College Road (Route 29C),13.0677731,80.2465395
29C,3216990971,26,College Road,13.0677838,80.2465225
29C,9921938888,27,Haddows Road (Route 29C),13.0671202,80.2479099
29C,9921938887,28,Haddows Road (Route 29C) #2,13.0666679,80.247881
29C,3216991399,29,Haddows Road (Route 29C) #3,13.0666677,80.2478922
29C,9921938886,30,Uttamar Gandhi Salai (Nungambakkam High Road),13.060609,80.2474532
29C,3216993078,31,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C),13.0606301,80.247496
29C,9921938885,32,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C) #2,13.0594268,80.2479477
29C,360807295,33,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C) #3,13.0594687,80.2480638
29C,9921938884,34,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C) #4,13.0573111,80.2486595
29C,3216991543,35,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C) #5,13.0573221,80.2487138
29C,9921938883,36,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C) #6,13.0549423,80.2496076
29C,3216995418,37,Uttamar Gandhi Salai (Nungambakkam High Road) (Route 29C) #7,13.0549585,80.2496516
29C,9921938882,38,Cathedral Road,13.0514535,80.2518364
29C,378688568,39,Cathedral Road (Route 29C),13.0514752,80.2518854
29C,9921938881,40,Cathedral Road (Route 29C) #2,13.050467,80.2526125
29C,9921938880,41,Cathedral Road (Route 29C) #3,13.0480058,80.2540431
29C,9921938879,42,Cathedral Road (Route 29C) #4,13.0461759,80.2565485
29C,355515114,43,Cathedral Road (Route 29C) #5,13.0462093,80.256558
29C,9921938878,44,Dr Radhakrishnan Salai,13.0447817,80.2631832
29C,9734368257,45,Dr Radhakrishnan Salai (Route 29C),13.0448097,80.2631942
29C,9921938877,46,Dr Radhakrishnan Salai (Route 29C) #2,13.0446682,80.2653247
29C,9734386075,47,Dr Radhakrishnan Salai (Route 29C) #3,13.0446914,80.2653248
29C,9921938876,48,Thiruvika Salai,13.0417805,80.2682611
29C,2485153591,49,Thiruvika Salai (Route 29C),13.0417872,80.2683179
29C,9921938875,50,Thiruvika Salai (Route 29C) #2,13.0376257,80.2676931
29C,3216998713,51,Thiruvika Salai (Route 29C) #3,13.0376266,80.2677461
29C,2188511086,52,Ramkrishna Mutt Road,13.0343967,80.2680763
29C,3216997832,53,Ramkrishna Mutt Road (Route 29C),13.0344064,80.2681224
29C,9921938874,54,Ramkrishna Mutt Road (Route 29C) #2,13.0339289,80.2679807
29C,410614397,55,Ramkrishna Mutt Road (Route 29C) #3,13.0339269,80.2680487
29C,9921938873,56,Ramkrishna Mutt Road (Route 29C) #4,13.0299143,80.2667084
29C,3216999998,57,Ramkrishna Mutt Road (Route 29C) #5,13.0299144,80.2667491
29C,9921938872,58,RK Mutt Road,13.0272018,80.2661429
29C,418116040,59,RK Mutt Road (Route 29C),13.027196,80.266243
29C,3216996445,60,Robertson Lane,13.0253858,80.2654342
29C,3217004886,61,Durgabai Deshmukh Road,13.0162141,80.2597582
29C,249497682,62,CMWSSB Division 176,13.0109976,80.2591938
29C,334713155,63,Durgabai Deshmukh Road (Route 29C),13.0110148,80.2592709
29C,9921938869,64,Dr Muthulakshmi Salai (Route 29C),13.0002568,80.2563936
29C,2587530809,65,Dr Muthulakshmi Salai (Route 29C) #2,13.0002744,80.2564084
29C,9921938868,66,Dr Muthulakshmi Salai (Route 29C) #3,12.9987579,80.25609
29C,3217004939,67,Dr Muthulakshmi Salai,12.998741,80.2561722
29C,9921938867,68,Mahatma Gandhi Road (Route 29C),12.9962673,80.2624653
29C,313783576,69,Mahatma Gandhi Road,12.9963185,80.2624567
29C,9921938866,70,Besant Nagar 2nd Avenue (Route 29C),12.9961023,80.2677142
29C,417750654,71,Besant Nagar 2nd Avenue,12.9960874,80.2676685
29C,4421925892,72,Haddows Road,13.067122,80.2479405
29C,3216986939,73,Brick Klin Road (Route 29C) #3,13.0906349,80.2511188
29C,405508932,74,Cathedral Road (Route 29C) #6,13.0480237,80.2540873
3,2237592529,1,"South Usman Road, Zone 10 Kodambakkam",13.0342665,80.2304553
