route_number,from_stop,to_stop,distance_km
15B,7412932325,7412932325,0.0
15B,7412932325,9504474776,0.2687985748619529
15B,9504474776,2482072870,0.7775270676114558
15B,2482072870,9504474775,0.009189768332970952
15B,9504474775,3216990390,2.769961253716085
588C,5400380243,5400382522,0.6855759346839371
588C,5400382522,9903138577,0.007025780159184731
588C,9903138577,5400382521,0.7903774533468481
588C,5400382521,9903138576,0.007105802504330184
588C,9903138576,5400381618,1.1581605080273685
588C,5400381618,9412862313,1.4817821074108697
588C,9412862313,9412862312,0.008773715082207364
588C,9412862312,5228342635,1.241923698592408
588C,5228342635,9925164646,0.00687070338330607
588C,9925164646,5227454884,0.5828913860930449
588C,5227454884,308313775,0.008826008044238252
588C,308313775,4221779489,0.5892287008352816
588C,4221779489,9925164645,0.005903383562918477
588C,9925164645,5631301429,0.9231213349197303
588C,5631301429,366083028,0.0058228752060633
588C,366083028,3263015892,1.7406459422319471
588C,3263015892,3263017226,1.0246931311743688
588C,3263017226,1971862196,0.008695261011977488
588C,1971862196,9925164644,0.8013176444812284
588C,9925164644,310100943,0.00987513883521852
588C,310100943,9925164643,0.7309471777546984
588C,9925164643,325191477,0.022932301878474965
588C,325191477,310102879,0.3082837306458047
588C,310102879,1183430650,0.5996535747479139
588C,1183430650,9506980944,0.009204289558391686
588C,9506980944,1183430887,0.8072116544344777
588C,1183430887,9925164642,0.005957243982947638
588C,9925164642,9925164641,1.843748517819397
588C,9925164641,5332440110,0.005957081392826274
27D,310729808,290656624,9.4357475001979
27D,290656624,5631301115,9.438708410291142
27D,5631301115,9886468232,0.5983704276207787
27D,9886468232,3216986967,4.405198604526973
27D,3216986967,303695784,1.3302476574136395
27D,303695784,9734354380,3.2378111394201077
27D,9734354380,316244809,2.6406587959213312
27D,316244809,355550113,1.47836997995966
27D,355550113,378688568,3.0909217556812743
27D,378688568,9734416560,2.294932404765931
27D,9734416560,405508932,1.9505143768069266
27D,405508932,2482075364,3.032566094243544
27D,2482075364,3215494190,3.168549331364686
27D,3215494190,378688565,0.8011882034673247
27D,378688565,334222896,1.4573329213970652
27D,334222896,2482072878,2.2346037854192433
27D,2482072878,3216998093,2.228060609216204
27D,3216998093,316244810,1.598740032010285
27D,316244810,9734386075,1.6301895333619076
27D,9734386075,3216995856,0.9431613012245142
27D,3216995856,9734417426,1.3537210951714502
27D,9734417426,2482014617,1.9449054735785358
27D,2482014617,309185794,1.3030107359508694
27D,309185794,384486247,2.066526575895919
27D,384486247,5336393773,5.600780026514777
27D,5336393773,5338598421,0.23137362313839105
27D,5338598421,301736902,7.634623647175362
27D,301736902,3215513362,4.092113203610212
27D,3215513362,3216994236,3.826558880905982
27D,3216994236,1280328281,2.7104182515884303
27D,1280328281,290656624,7.2031273945127
27D,290656624,2482075369,7.201676364304186
27D,2482075369,309185820,1.4825424903524027
27D,309185820,5356742026,0.8511830831631018
27D,5356742026,9886329408,4.295817632416923
19B,3263015885,1457114954,5.5890795055546505
19B,1457114954,1183430572,1.9499338172100402
19B,1183430572,1183430763,0.8301423278252505
19B,1183430763,3263015892,3.8460933639943353
19B,3263015892,7412854052,5.278492496215379
19B,7412854052,1457114931,0.7082099796502135
5C,7412932325,7424295245,12.366427088149575
5C,7424295245,1676204856,0.4292778091523555
5C,1676204856,2482072870,11.205106982862457
5C,2482072870,1676204850,11.021861189130403
5C,1676204850,2482072921,10.403689695221441
5C,2482072921,1183430763,10.061256579222926
5C,1183430763,1183430572,0.8301423278252505
5C,1183430572,309062093,8.61482548859359
5C,309062093,5460685950,0.8634582154488314
